Rank,Batsam Name,Total Runs Scored,Average,Strikerate
201,Kamran Akmal,128,32,164.1025641
202,D Wiese,127,25.4,141.1111111
203,P Dogra,127,10.58333333,92.02898551
204,UT Khawaja,127,25.4,127
205,M Morkel,126,11.45454545,140
206,MC Juneja,125,17.85714286,98.42519685
207,BB Samantray,125,25,110.619469
208,B Lee,124,12.4,129.1666667
209,MM Sharma,123,8.785714286,105.1282051
210,AB McDonald,123,24.6,124.2424242
211,UT Yadav,122,10.16666667,98.38709677
212,Niraj Patel,121,24.2,102.5423729
213,DL Vettori,121,17.28571429,111.0091743
214,AC Blizzard,120,17.14285714,134.8314607
215,RJ Harris,117,9.75,105.4054054
216,Misbah-ul-Haq,117,13,144.4444444
217,Z Khan,117,7.8,84.7826087
218,D Short,116,16.57142857,117.1717172
219,KK Cooper,116,12.88888889,170.5882353
220,TG Southee,115,19.16666667,127.7777778
221,R Tewatia,115,16.42857143,129.2134831
222,M Kartik,113,16.14285714,104.6296296
223,DJ Harris,111,37,109.9009901
224,HV Patel,107,13.375,157.3529412
225,JDP Oram,106,13.25,98.14814815
226,LJ Wright,106,26.5,176.6666667
227,Rashid Khan,105,8.75,166.6666667
228,RJ Quiney,103,14.71428571,100.9803922
229,DS Kulkarni,101,11.22222222,95.28301887
230,MS Gony,99,11,141.4285714
231,SD Chitnis,99,14.14285714,111.2359551
232,MJ Clarke,98,19.6,104.2553191
233,CJ Ferguson,98,16.33333333,84.48275862
234,MA Starc,96,16,97.95918367
235,S Curran,95,23.75,172.7272727
236,AJ Tye,92,13.14285714,131.4285714
237,PR Shah,92,11.5,101.0989011
238,DJ Jacobs,92,13.14285714,94.84536082
239,S Rana,91,18.2,112.345679
240,RT Ponting,91,11.375,71.65354331
241,AD Nath,90,9,91.83673469
242,S Hetmyer,90,18,123.2876712
243,MJ McClenaghan,88,8,125.7142857
244,Iqbal Abdulla,88,88,106.0240964
245,SL Malinga,88,7.333333333,88.88888889
246,AP Majumdar,87,21.75,114.4736842
247,J Archer,84,12,137.704918
248,RE Levi,83,13.83333333,113.6986301
249,LA Carseldine,81,27,119.1176471
250,WPUJC Vaas,81,11.57142857,110.9589041
251,Shahid Afridi,81,10.125,176.0869565
252,AD Mascarenhas,79,7.9,101.2820513
253,PJ Cummins,77,12.83333333,140
254,S Rutherford,77,15.4,145.2830189
255,B Akhil,76,10.85714286,138.1818182
256,IR Jaggi,76,15.2,78.35051546
257,TR Birt,75,15,129.3103448
258,Washington Sundar,75,12.5,150
259,M Klinger,73,18.25,94.80519481
260,RR Sarwan,73,24.33333333,97.33333333
261,L Livingstone,71,23.66666667,151.0638298
262,DL Chahar,71,11.83333333,161.3636364
263,K Rabada,70,11.66666667,89.74358974
264,AA Bilakhia,69,13.8,81.17647059
265,H Klaasen,67,13.4,117.5438596
266,RR Powar,67,22.33333333,106.3492063
267,R Singh,66,11,101.5384615
268,R Sharma,66,6,88
269,Mohammad Hafeez,64,8,78.04878049
270,CR Woakes,63,12.6,95.45454545
271,WD Parnell,63,7,84
272,Anirudh Singh,63,15.75,95.45454545
273,A Flintoff,62,31,116.9811321
274,S Aravind,59,19.66666667,105.3571429
275,WA Mota,56,11.2,76.71232877
276,JD Unadkat,55,7.857142857,103.7735849
277,M Rawat,55,11,79.71014493
278,I Sharma,55,7.857142857,90.16393443
279,J Suchith,54,27,117.3913043
280,Mohammed Shami,54,6,103.8461538
281,A Chopra,53,10.6,74.64788732
282,RR Rossouw,53,8.833333333,103.9215686
283,RP Singh,52,3.466666667,72.22222222
284,NM Coulter-Nile,52,7.428571429,104
285,Shoaib Malik,52,13,110.6382979
286,KB Arun Karthik,51,10.2,102
287,R Rampaul,51,10.2,104.0816327
288,RV Gomez,50,7.142857143,100
289,SB Bangar,49,8.166666667,84.48275862
290,VR Aaron,49,16.33333333,79.03225806
291,AG Paunikar,49,9.8,85.96491228
292,Yashpal Singh,47,11.75,71.21212121
293,Kuldeep Yadav,45,11.25,83.33333333
294,Sunny Singh,43,10.75,138.7096774
295,AB Barath,42,21,100
296,SK Trivedi,42,5.25,71.18644068
297,JDS Neesham,42,14,91.30434783
298,A Nehra,41,5.125,69.49152542
299,LPC Silva,40,20,160
300,S Dube,40,10,121.2121212
301,BR Dunk,40,13.33333333,114.2857143
302,Umar Gul,39,13,205.2631579
303,AUK Pathan,39,7.8,169.5652174
304,DJ Thornely,39,13,75
305,MM Patel,39,7.8,95.12195122
306,SP Jackson,38,19,122.5806452
307,JO Holder,38,7.6,122.5806452
308,Anureet Singh,37,9.25,80.43478261
309,S Narwal,37,9.25,137.037037
310,JJ Bumrah,37,12.33333333,97.36842105
311,Sohail Tanvir,36,12,124.137931
312,L Balaji,36,5.142857143,76.59574468
313,KW Richardson,36,12,92.30769231
314,Joginder Sharma,36,9,120
315,AN Ahmed,36,36,138.4615385
316,SN Thakur,36,9,171.4285714
317,A Kumble,35,17.5,76.08695652
318,B Sumanth,35,35,94.59459459
319,S Sreesanth,34,11.33333333,65.38461538
320,AP Dole,34,17,154.5454545
321,A Mithun,34,6.8,136
322,L Ronchi,34,11.33333333,100
